"element_id","position_mb","distance_mb","local_peak","distal_peak","re2g_score","abc_score","contact_frequency","nearby_activity","distance_scaled","tss_between","elements_between"
"E001",106.850593817849,0.190406182151278,5.03444322908919e-25,0,0.0445924989103036,0.0150851931720941,0.0190232586513961,40.007445554285,0.978186944807197,1,49
"E002",106.851570433155,0.189429566845291,8.92415727437213e-25,0,0.0553411194354771,0.0155931080901967,0.0164931971458023,40.0103414745413,0.973169710956793,1,48
"E003",106.852580395211,0.188419604789459,1.60815291262804e-24,0,0.0742870210588661,0.0235245605955143,0.0132060431126084,40.0079895807859,0.967981162525205,1,47
"E004",106.853927435409,0.187072564590721,3.5101069884247e-24,0,0.0503113555713483,0.0177502752398413,0.0247157006206342,40.0022677230769,0.961060919066467,1,46
"E005",106.857840833683,0.183159166317424,3.28367425014376e-23,0,0.0489231690725299,0.020643070342048,0.0177828184028753,40.0073691010365,0.94095634547794,1,45
"E006",106.860838546753,0.180161453247067,1.76320922233128e-22,0,0.107127734434625,0.01595698115505,0.0102721387082293,40.007927401215,0.92555598527655,0,44
"E007",106.877675528135,0.16332447186484,1.32523341079546e-18,0,0.040426266077217,0.0335087911579836,0.0187551630926283,40.0064991559954,0.839058187820737,0,43
"E008",106.879224661607,0.161775338392701,2.88286498853586e-18,0,0.0636052484652219,0.0170534406455646,0.0227625941875489,40.0032421237977,0.831099716509095,0,42
"E009",106.897941616327,0.14305838367342,1.92190940461761e-14,0,0.0457315479691712,0.0317110396899615,0.0137778927719961,40.0024050178967,0.734943801054618,0,41
"E010",106.902920112163,0.138079887837165,1.66642592802972e-13,0,0.0649972301946034,0.0236946446385628,0.0183711685610333,40.0069664307841,0.709367427552562,0,40
"E011",106.904626495913,0.136373504087317,3.43288684503703e-13,0,0.0581727801414292,0.050248077271696,0.0114693771337337,40.0028647291698,0.700601103433912,0,39
"E012",106.905119846072,0.135880153927943,4.22356655269263e-13,0,0.179189930877734,0.0190938643215011,0.0106666318930946,40.003665794395,0.69806658128938,0,38
"E013",106.907955268174,0.133044731825592,1.37000773198394e-12,0,0.153133336687537,0.0238680818795443,0.0148636202122107,40.005923441329,0.683499969784437,0,37
"E014",106.908431685306,0.13256831469387,1.66545470565347e-12,0,0.0654350468548341,0.0416661874823964,0.0107479806943001,40.0057914941602,0.681052438862554,0,36
"E015",106.910518256538,0.130481743462383,3.88500367290654e-12,0,0.0560037729878139,0.0393891714654398,0.0222030760813979,40.0013358970274,0.670332951107532,0,35
"E016",106.915472749025,0.125527250975367,2.75092707030172e-11,0,0.0988032721353777,0.0279833021977749,0.0146818488652924,40.0134179354478,0.644879891683789,0,34
"E017",106.916750176027,0.124249823972576,4.50115037294774e-11,0,0.0688291605698056,0.0366406466085423,0.0199782472611917,40.006169799857,0.638317276946411,0,33
"E018",106.921462960038,0.119537039961656,2.65054327741438e-10,0,0.290361591276486,0.021281183166635,0.0170893861427167,40.0012906364235,0.614105963316294,0,32
"E019",106.928851048797,0.112148951202627,3.7199774357614e-09,0,0.114357861527983,0.0292456606598635,0.0107528419581517,40.0005624077225,0.576150620220252,0,31
"E020",106.929095305838,0.111904694162305,4.0477952741774e-09,0,0.0929557878577252,0.0254012904841027,0.0134733041064161,40.0077631219987,0.574895781510077,0,30
"E021",106.932987085041,0.108012914959332,1.51645519105997e-08,0,0.145981188694955,0.0194872763363096,0.0112652030186658,40.0003210376376,0.554902273077687,0,29
