"element_id","element_position","promoter_position","link_strength"
"E049",107.035192591008,107.041,0.690911543993537
"E051",107.047813708391,107.041,0.654985184108548
"E050",107.036370250452,107.041,0.576565089526537
"E052",107.049379362501,107.041,0.558772629415501
"E054",107.054965040889,107.041,0.518121645376027
"E053",107.052097851653,107.041,0.504930947579829
"E048",107.028131436333,107.041,0.492357335554563
"E044",107.018689607419,107.041,0.467654970336558
"E081",107.166477588806,107.041,0.376187342282568
"E047",107.021451094989,107.041,0.372336992520423
"E056",107.062672839835,107.041,0.357583039381438
"E055",107.061526075993,107.041,0.327160626205734
"E057",107.06353461301,107.041,0.319329242595393
