"region","continent","literature_loss","region_area","reconstructed_loss","labelled"
"Region 001","Europe",42.7903338139276,0.742718269551096,50.3401455946058,FALSE
"Region 002","Americas",29.871908296908,0.722042128773023,28.1842409066725,FALSE
"Region 003","Asia",2.71998290472694,2.05694743675258,5.28089185256543,FALSE
"Region 004","Europe",5.15996262619419,1.56089127828476,14.1388713732865,FALSE
"Region 005","Asia",14.5263636820207,0.530567883712005,5.70923812160408,FALSE
"Region 006","Asia",27.2983048633548,3.83968975686139,36.5608336583546,FALSE
"Region 007","Americas",10.4194869370458,0.430137428982368,11.9740768085677,FALSE
"Region 008","Asia",74.0356557597586,3.04857294931839,82.3361901960291,FALSE
"Region 009","Europe",9.20991631440392,2.56473218246448,13.1191888743355,FALSE
"Region 010","Africa",43.4636350945099,0.766844715069644,41.5677793291963,FALSE
"Region 011","Africa",0.599308217123174,2.65353837588207,0.24505806478857,FALSE
"Region 012","Europe",20.5374443307402,2.13460085555805,19.1347839380919,FALSE
"Region 013","Asia",6.27221620755511,2.30906611634229,13.3444331000009,FALSE
"Region 014","Asia",21.4762697241303,0.315066306498037,27.9036026364094,FALSE
"Region 015","Americas",16.6775879614431,0.802075783433181,17.4471670088315,FALSE
"Region 016","Americas",66.1215856355176,0.25,57.8989003783091,FALSE
"Region 017","Americas",59.2693206011139,1.78099298124099,74.119287251598,FALSE
"Region 018","Europe",21.7676565672846,4.5817919751444,24.8754458619272,FALSE
"Region 019","Europe",69.0986892861219,0.421190087342547,75.4589138288122,FALSE
"Region 020","Asia",15.0392403114273,1.9705094041434,2.83160623403438,FALSE
"Region 021","Africa",39.8744187730067,1.29488967449714,39.7125750546814,FALSE
"Region 022","Europe",23.9665694521383,5.98496786298731,34.7208279094469,FALSE
"Region 023","Africa",86.4609427519929,1.23352188517021,88.5852844836893,FALSE
"Region 024","Africa",46.3630337463006,2.0589961055774,41.8378239298428,FALSE
"Region 025","Europe",37.1715151239865,0.624399785659809,33.7353512336625,FALSE
"Region 026","Americas",57.166980034362,0.858745440580234,75.9509945545165,FALSE
"Region 027","Asia",73.5109239938255,3.62987452641497,63.1204581461799,FALSE
"Region 028","Europe",81.1869889746022,4.62519097457596,84.4761225909925,FALSE
"Region 029","Asia",10.2223847229874,0.923586630542306,29.1346114322965,FALSE
"Region 030","Americas",7.44622271804859,2.24595981456326,20.6162396441552,FALSE
"Region 031","Asia",45.167580318913,1.48981099347797,24.0144830433015,FALSE
"Region 032","Americas",3.40972283958881,7.71484109932419,5.88530257456013,FALSE
"Region 033","Americas",62.1742751927459,7.21131236057199,55.3010230170904,FALSE
"Region 034","Oceania",36.9974776750338,1.09507722807959,44.4839212498132,FALSE
"Region 035","Africa",3.42895139586407,2.82268143198242,7.81443005481365,FALSE
"Region 036","Europe",68.5359277448523,2.98334453454193,57.3999738465269,FALSE
"Region 037","Asia",26.0690949001081,1.11245746040462,37.5941745881297,FALSE
"Region 038","Europe",47.266072579308,1.61717369467425,45.8998427395688,FALSE
"Region 039","Europe",32.4555160396818,1.76016345371817,41.1197130552708,FALSE
"Region 040","Asia",80.4342966432312,2.89845012439363,74.5443989427747,FALSE
"Region 041","Europe",75.3679399064566,9.91100704692744,74.5276056323703,FALSE
"Region 042","Africa",32.9177849898796,1.53464765684629,35.2995681955701,FALSE
"Region 043","Europe",17.3824653492051,0.543666204555549,12.5208291884463,FALSE
"Region 044","Asia",42.2458887732298,0.869440933285371,48.0519940835352,FALSE
"Region 045","Americas",32.5421410763894,0.683842850725132,26.981872403339,FALSE
"Region 046","Americas",42.9450332353884,0.97939123716852,45.2328303020484,FALSE
"Region 047","Europe",32.3299486772076,1.69098338872183,14.7281396275124,FALSE
"Region 048","Americas",31.6792462598257,1.0087389741911,13.0160755894556,FALSE
"Region 049","Americas",28.4144729730795,0.573175720707887,25.1109436299249,FALSE
"Region 050","Americas",9.61661883617673,3.56379479058542,6.79588261107159,FALSE
"Region 051","Americas",5.40952963428146,3.35292670691172,0,FALSE
"Region 052","Americas",8.44384743499449,1.43309014836412,8.87626946893205,FALSE
"Region 053","Americas",13.9371128610102,4.45310280336185,28.1425185375474,FALSE
"Region 054","Americas",73.4415171396111,7.40442495142926,71.2577078719328,FALSE
"Region 055","Americas",94.0748275854326,1.53073338742594,89.8935088528968,FALSE
"Region 056","Asia",16.9703047448573,1.53083363471467,20.8687835393749,FALSE
"Region 057","Americas",7.951957650021,0.25,7.9207176114525,FALSE
"Region 058","Americas",23.0414165346357,9.54839497768024,10.8089450411232,FALSE
"Region 059","Americas",22.3968869639356,8.30385098676485,23.9181118022797,FALSE
"Region 060","Asia",63.5290855105464,1.60926345934406,68.9349430457196,FALSE
"Region 061","Asia",5.02838700618361,3.7516816872109,0.0460407379710865,FALSE
"Region 062","Asia",56.2618507092717,0.67137989089223,61.4612977905911,FALSE
"Region 063","Americas",74.0379288894113,0.874989172770739,65.9751646641091,FALSE
"Region 064","Europe",21.6463432032346,4.41518905283844,14.1890080061422,FALSE
"Region 065","Americas",10.2662338641908,7.28256437720677,9.89874208239227,FALSE
"Region 066","Europe",45.065107959424,1.73336839493039,47.4912630525793,FALSE
"Region 067","Asia",0.141459940134907,1.35133718583782,0,FALSE
"Region 068","Asia",36.312356460276,6.54840079835354,48.9028913206508,FALSE
"Region 069","Americas",71.1734990861719,4.06395783356236,72.2339467656138,FALSE
"Region 070","Asia",23.5194187400483,8.02491396550232,22.2600480821036,FALSE
"Region 071","Asia",62.4615222525234,0.826473748008751,64.0073360311446,FALSE
"Region 072","Americas",19.3303941743862,2.5775256348931,20.5644907068268,FALSE
"Region 073","Asia",28.8857234783216,1.54738726724162,31.7237906093333,FALSE
"Region 074","Americas",28.8102591780401,0.25,25.4264923458305,FALSE
"Region 075","Americas",71.3165096674527,1.69333447672795,60.1884033074403,FALSE
"Region 076","Asia",55.2792340019831,2.62818101267052,48.469164998353,FALSE
"Region 077","Americas",47.9374047368534,8.31394104845393,55.782516153275,FALSE
"Region 078","Europe",38.4233895745946,8.1290919863684,37.3801586677595,FALSE
"Region 079","Americas",84.082548992064,2.2875270027914,86.4068612382014,FALSE
"Region 080","Europe",49.1953439947515,0.921891649451531,47.3764125219534,FALSE
"Region 081","Asia",21.580618318759,1.63584998013719,31.8771982376592,FALSE
"Region 082","Asia",24.3191503415977,0.95434411810145,23.6468876095876,FALSE
"Region 083","Asia",32.3147110834126,3.94734911418099,41.9651667244088,FALSE
"Region 084","Europe",33.9604675153645,0.512448678631774,30.3971901786178,FALSE
"Region 085","Africa",26.9655917343009,0.782826023030702,26.8100396872227,FALSE
"Region 086","Americas",6.33430037768428,3.82899244536035,2.97489414822273,FALSE
"Region 087","Europe",30.3310767857421,14.0031335029237,23.4765150724065,FALSE
"Region 088","Europe",66.6519910221849,0.336668559722015,70.3566483855146,FALSE
"Region 089","Asia",48.511980844968,1.09731376032531,52.466770231944,FALSE
"Region 090","Africa",36.9880050897705,0.391808516628553,39.2454903684535,FALSE
"Kuban Delta","Europe",48,0.55,95,TRUE
"Friuli–Venezia
Giulia","Europe",83,0.45,93,TRUE
"Ohio","Americas",88,2.1,91,TRUE
"Iowa","Americas",86,3.1,83,TRUE
"Illinois","Americas",81,2.9,78,TRUE
"France","Europe",67,7,81,TRUE
"Finland","Europe",65,5.5,77,TRUE
"Great Britain","Europe",45,0.75,72,TRUE
"Peloponnese","Europe",34,0.5,64,TRUE
"Epirus","Europe",45,1.1,52,TRUE
"Tunisia","Africa",28,0.55,45,TRUE
"West Virginia","Americas",16,1.5,38,TRUE
"Henan","Asia",14,2.8,34,TRUE
"Chongqing","Asia",57,2.2,55,TRUE
"North
Carolina","Americas",40,2.2,48,TRUE
"Missouri","Americas",80,3.7,65,TRUE
"New
Zealand","Oceania",88,4.8,66,TRUE
"Bulgaria","Europe",94,2.3,85,TRUE
"Po Delta","Europe",98,0.8,76,TRUE
"Thessaly","Europe",95,0.3,50,TRUE
"Songnen
Plain","Asia",74,1.8,52,TRUE
"California","Americas",71,5.8,43,TRUE
"Rhine
Delta","Europe",57,0.5,36,TRUE
"Rhone
Delta","Europe",56,0.45,39,TRUE
"Estonia","Europe",69,1.1,13,TRUE
"Lake Urmia","Asia",61,0.45,11,TRUE
"Rhine Valley","Europe",60,0.45,1,TRUE
"Xinjiang","Asia",55,14.5,0,TRUE
"Mesopotamian
marshes","Asia",85,1.2,16,TRUE
"Magdalena
Delta","Americas",88,0.75,4,TRUE
"Lake Chad","Africa",95,1.8,0,TRUE
