"cell_type","compartment","at_content"
"Exc","Active",0.602577526716812
"Exc","Active",0.581122770873248
"Exc","Active",0.57076821358363
"Exc","Active",0.559315869533573
"Exc","Active",0.588566290052446
"Exc","Active",0.621943199066228
"Exc","Active",0.579736641840209
"Exc","Active",0.515483720717914
"Exc","Active",0.548483896394262
"Exc","Active",0.597700253541416
"Exc","Active",0.614231571451007
"Exc","Active",0.621955635551365
"Exc","Active",0.593734116250515
"Exc","Active",0.566824762828181
"Exc","Active",0.579561996348901
"Exc","Active",0.579329804855763
"Exc","Active",0.547127808500749
"Exc","Active",0.630754365750367
"Exc","Active",0.568560152343368
"Exc","Active",0.588637708972222
"Exc","Active",0.609212734405988
"Exc","Active",0.603830571525698
"Exc","Active",0.54445256727176
"Exc","Active",0.594475313655789
"Exc","Active",0.559790279741556
"Exc","Active",0.514301874016058
"Exc","Active",0.543382681736592
"Exc","Active",0.558949325477071
"Exc","Active",0.550584704114625
"Exc","Active",0.541119608978655
"Exc","Active",0.578005355851703
"Exc","Active",0.520612457151926
"Exc","Active",0.516943569556285
"Exc","Active",0.58680222854592
"Exc","Active",0.558893276950055
"Exc","Active",0.58317136831166
"Exc","Active",0.576881929927724
"Exc","Active",0.544602907850675
"Exc","Active",0.542820304225783
"Exc","Active",0.545253606875261
"Exc","Active",0.576567511622547
"Exc","Active",0.568048838249674
"Exc","Active",0.621240494594516
"Exc","Active",0.596908937772387
"Exc","Active",0.582582247008167
"Exc","Active",0.580990438797989
"Exc","Active",0.567608737521462
"Exc","Active",0.513074468479482
"Exc","Active",0.524310044068784
"Exc","Active",0.546711320017192
"Exc","Active",0.564636035689552
"Exc","Active",0.538779939741621
"Exc","Active",0.610834149121072
"Exc","Active",0.536035025988845
"Exc","Active",0.581640799053763
"Exc","Active",0.49111658175482
"Exc","Active",0.555995801499541
"Exc","Active",0.528067967362302
"Exc","Active",0.5572855275013
"Exc","Active",0.55027408989421
"Exc","Active",0.602881760173232
"Exc","Active",0.596414735536603
"Exc","Active",0.557678961234862
"Exc","Active",0.605788646853297
"Exc","Active",0.547590395349416
"Exc","Active",0.578133607030184
"Exc","Active",0.560553140037365
"Exc","Active",0.626179280281168
"Exc","Active",0.584408773890242
"Exc","Active",0.575415817522019
"Exc","Active",0.59446451349956
"Exc","Active",0.610280887805533
"Exc","Active",0.618983721675674
"Exc","Active",0.538348571678972
"Exc","Active",0.53152568497061
"Exc","Active",0.58327342590186
"Exc","Active",0.516869494827228
"Exc","Active",0.607045759081416
"Exc","Active",0.599129031902489
"Exc","Active",0.575238158707505
"Exc","Active",0.516966128212396
"Exc","Active",0.605232774239641
"Exc","Active",0.563163559867545
"Exc","Active",0.585261623621992
"Exc","Active",0.570464696768603
"Exc","Active",0.635745071740603
"Exc","Active",0.618058323614632
"Exc","Active",0.612261095692273
"Exc","Active",0.570963884467254
"Exc","Active",0.55137659244186
"Exc","Active",0.580462168637066
"Exc","Active",0.570558495176743
"Exc","Active",0.581140148162112
"Exc","Active",0.570328517924883
"Exc","Active",0.569618714998244
"Exc","Active",0.5659425487162
"Exc","Active",0.53698502606576
"Exc","Active",0.525203234028085
"Exc","Active",0.534160795459648
"Exc","Active",0.545675672487038
"Exc","Active",0.610208055385505
"Exc","Active",0.641188612531589
"Exc","Active",0.55073546336091
"Exc","Active",0.532891663463828
"Exc","Active",0.55936337476757
"Exc","Active",0.558518066457896
"Exc","Active",0.600406815090262
"Exc","Active",0.523825759877043
"Exc","Active",0.593626833565454
"Exc","Active",0.610836555651101
"Exc","Active",0.557515544120303
"Exc","Active",0.538445038676885
"Exc","Active",0.583175741409177
"Exc","Active",0.473855231128092
"Exc","Active",0.574535364701173
"Exc","Active",0.60786877912042
"Exc","Active",0.559981457299573
"Exc","Active",0.599399198983319
"Exc","Active",0.55428409224074
"Exc","Active",0.566486035657209
"Exc","Active",0.566399315768911
"Exc","Active",0.608014114020832
"Exc","Active",0.592718031603683
"Exc","Active",0.585893262770485
"Exc","Active",0.576683901907526
"Exc","Active",0.622756077448019
"Exc","Active",0.587072011766185
"Exc","Active",0.617541662304767
"Exc","Active",0.557426781937317
"Exc","Active",0.560999635164024
"Exc","Active",0.57031197497922
"Exc","Active",0.572077915311365
"Exc","Active",0.564241086893978
"Exc","Active",0.528262389764057
"Exc","Active",0.568125014271102
"Exc","Active",0.593456277048583
"Exc","Active",0.603393965522839
"Exc","Active",0.586432399416564
"Exc","Active",0.575228479258378
"Exc","Active",0.605199247122713
"Exc","Active",0.568249330439058
"Exc","Active",0.585243635791354
"Exc","Active",0.610915634988369
"Exc","Active",0.539731497758334
"Exc","Active",0.612050115179999
"Exc","Active",0.581218359486088
"Exc","Active",0.608202137745082
"Exc","Active",0.590637090239726
"Exc","Active",0.567416576938746
"Exc","Active",0.573582999390661
"Exc","Active",0.569389358429407
"Exc","Active",0.603288867569783
"Exc","Active",0.600709331649116
"Exc","Active",0.578078316189554
"Exc","Active",0.542109258971166
"Exc","Active",0.634399866601936
"Exc","Active",0.58743115717857
"Exc","Active",0.600440898170761
"Exc","Active",0.526169463690428
"Exc","Active",0.574352625126699
"Exc","Active",0.618017033829235
"Exc","Active",0.583497366926786
"Exc","Active",0.556899160734169
"Exc","Active",0.561255344438704
"Exc","Active",0.650136058080618
"Exc","Active",0.533438136609418
"Exc","Active",0.588156534465561
"Exc","Active",0.650648906837237
"Exc","Active",0.627680067704427
"Exc","Active",0.490387610897554
"Exc","Active",0.584902318939885
"Exc","Active",0.547506991297378
"Exc","Active",0.604945774299117
"Exc","Active",0.592541914635798
"Exc","Active",0.530456184406699
"Exc","Active",0.621100318752086
"Exc","Active",0.569535080641043
"Exc","Active",0.609656788062356
"Exc","Active",0.551440409198174
"Exc","Active",0.571638662903655
"Exc","Active",0.584527132822762
"Exc","Active",0.555553455356965
"Exc","Active",0.598224421241222
"Exc","Active",0.552758925307798
"Exc","Active",0.58415118826664
"Exc","Active",0.504592763801219
"Exc","Active",0.500347317318519
"Exc","Active",0.561785882627382
"Exc","Active",0.563717055099579
"Exc","Active",0.498967545313863
"Exc","Active",0.57672968813575
"Exc","Active",0.631821622706149
"Exc","Active",0.566264762929287
"Exc","Active",0.558274725069857
"Exc","Active",0.59059391517807
"Exc","Active",0.574875039845726
"Exc","Active",0.52607011402595
"Exc","Active",0.581084899353376
"Exc","Active",0.596623430140693
"Exc","Active",0.55507061492715
"Exc","Active",0.595797788325278
"Exc","Active",0.542748943098791
"Exc","Active",0.54517065921163
"Exc","Active",0.573530032872806
"Exc","Active",0.584704620372621
"Exc","Active",0.504973567391446
"Exc","Active",0.625362139441499
"Exc","Active",0.579241790717767
