"sample","sample_index","group","replicate","ici_score","family","relative_abundance"
"S01",1,"Psy",1,0.08,"Erysipelotrichaceae",25.5091186758869
"S01",1,"Psy",1,0.08,"Lachnospiraceae",6.46964156286228
"S01",1,"Psy",1,0.08,"Atopobiaceae",3.60230921959878
"S01",1,"Psy",1,0.08,"Muribaculaceae",21.6173656916504
"S01",1,"Psy",1,0.08,"Akkermansiaceae",0.0192129919295197
"S01",1,"Psy",1,0.08,"Bacteroidaceae",2.74226605830193
"S01",1,"Psy",1,0.08,"Bifidobacteriaceae",9.45847601281752
"S01",1,"Psy",1,0.08,"Clostridiaceae",3.32612303829444
"S01",1,"Psy",1,0.08,"Eubacterium_coprostanoligenes_group",0.000551097158450193
"S01",1,"Psy",1,0.08,"Lactobacillaceae",4.72260215111825
"S01",1,"Psy",1,0.08,"Peptococcaceae",0.0497448993679818
"S01",1,"Psy",1,0.08,"Peptostreptococcaceae",6.08726524748517
"S01",1,"Psy",1,0.08,"Ruminococcaceae",2.40229263211714
"S01",1,"Psy",1,0.08,"Oscillospiraceae",2.03575216728943
"S01",1,"Psy",1,0.08,"Staphylococcaceae",2.4275692632094
"S01",1,"Psy",1,0.08,"Streptococcaceae",1.19323432018363
"S01",1,"Psy",1,0.08,"Sutterellaceae",1.89796852720766
"S01",1,"Psy",1,0.08,"Others",6.43850644352112
"S02",2,"Psy",2,0.0949152542372881,"Erysipelotrichaceae",17.6253033432332
"S02",2,"Psy",2,0.0949152542372881,"Lachnospiraceae",18.0840193550584
"S02",2,"Psy",2,0.0949152542372881,"Atopobiaceae",2.93266596131571
"S02",2,"Psy",2,0.0949152542372881,"Muribaculaceae",6.11726305485914
"S02",2,"Psy",2,0.0949152542372881,"Akkermansiaceae",0.000352269403782128
"S02",2,"Psy",2,0.0949152542372881,"Bacteroidaceae",10.8375647309176
"S02",2,"Psy",2,0.0949152542372881,"Bifidobacteriaceae",12.4861657991451
"S02",2,"Psy",2,0.0949152542372881,"Clostridiaceae",3.14554372645373
"S02",2,"Psy",2,0.0949152542372881,"Eubacterium_coprostanoligenes_group",2.17237786117881
"S02",2,"Psy",2,0.0949152542372881,"Lactobacillaceae",0.581510604344972
"S02",2,"Psy",2,0.0949152542372881,"Peptococcaceae",1.79559059029144
"S02",2,"Psy",2,0.0949152542372881,"Peptostreptococcaceae",0.142002895065755
"S02",2,"Psy",2,0.0949152542372881,"Ruminococcaceae",7.99706661550205
"S02",2,"Psy",2,0.0949152542372881,"Oscillospiraceae",1.35665772311848
"S02",2,"Psy",2,0.0949152542372881,"Staphylococcaceae",1.856360374929
"S02",2,"Psy",2,0.0949152542372881,"Streptococcaceae",0.00638187313861724
"S02",2,"Psy",2,0.0949152542372881,"Sutterellaceae",2.60339434489324
"S02",2,"Psy",2,0.0949152542372881,"Others",10.2597788771509
"S03",3,"Psy",3,0.109830508474576,"Erysipelotrichaceae",32.919185733905
"S03",3,"Psy",3,0.109830508474576,"Lachnospiraceae",12.1492078152475
"S03",3,"Psy",3,0.109830508474576,"Atopobiaceae",0.494013569069859
"S03",3,"Psy",3,0.109830508474576,"Muribaculaceae",4.22695366701356
