"tree_distance","embedding_distance"
1,1.09308592963021
1,1.02329000682057
1,0.896972655076652
1,0.6318941145199
1,0.988339277663062
1,1.13690047190297
1,1.02921100417298
1,0.882095996838237
1,0.616044927382908
1,1.25777451261998
1,1.25400663784353
1,0.884463236952979
1,0.664730486412319
1,0.97402913743301
1,0.936160602802961
1,1.08511542470024
1,1.06820551932298
1,1.28143101778999
1,0.702852518211072
1,0.678491897937758
1,1.33396393155741
1,1.25306653604569
1,1.4319698679026
1,1.2501161869685
1,0.738493099394287
1,0.804090372147783
1,0.981580874239685
1,1.37554323702075
1,0.630604526889977
1,0.953487178372721
1,0.557669881835968
1,0.932534224731551
1,0.828698003803133
1,1.14292664353756
1,1.28040886528712
1,0.809600852102124
1,1.09776398338841
1,1.3126051415834
1,0.667895106816075
1,0.699262947872569
1,1.27646108502543
1,1.16459547839941
1,1.28495112655855
1,0.73041930745576
1,1.00685868911384
1,1.07724741061395
1,0.574599669211743
1,0.941861731149888
1,0.993106985232395
1,0.916590340911449
1,1.00040521476983
1,0.790509642757536
1,0.890755178957428
1,1.03416951006589
1,1.14140482324375
1,0.883285806238279
1,0.901618649751555
1,0.856670264069283
1,0.986693196425032
1,0.897939418588266
1,0.707013959642823
1,0.659321237199415
1,0.809591219565175
1,0.829375158357375
1,0.978734261487576
1,0.810711955370897
1,0.799256895849008
1,0.946237379217112
1,0.995979833946057
1,0.937613795070948
1,0.871574219893243
1,1.1490989725372
1,0.552618734697485
1,1.02618362208989
1,0.986243999599877
1,1.06427550873473
1,0.976668078813273
1,0.841817867018576
1,0.966312904471002
1,0.668923583842017
1,0.763098163863179
1,0.932157125551667
1,1.08426596154142
1,0.655933823079816
1,1.30298950025616
1,0.941210883006875
1,0.851918433944672
1,1.20137925805757
1,0.779966417918234
1,1.2838024023676
1,0.76966897234552
1,0.878796127040446
1,0.850864411946859
1,0.71173013777843
1,0.9492885965052
1,1.02956110686234
1,0.910022851175019
1,0.847439461729533
1,0.883739214980466
1,0.974967613758253
1,0.916516485956336
1,0.681711733917981
1,1.09397386565181
1,0.982060634454595
1,1.11545960014484
1,0.681994486522248
1,0.912760051240588
1,0.782946523507908
1,0.824606628735318
