"tree_distance","embedding_distance","density","ridge_y"
1,0.2,1.26591420967466e-15,1
1,0.202544031311155,2.14335307783823e-15,1
1,0.205088062622309,3.57742943844725e-15,1
1,0.207632093933464,5.89027414135062e-15,1
1,0.210176125244618,9.52404327886336e-15,1
1,0.212720156555773,1.55738052710807e-14,1.00000000000001
1,0.215264187866928,2.61013010062922e-14,1.00000000000001
1,0.217808219178082,4.28634364687634e-14,1.00000000000002
1,0.220352250489237,6.92168927444766e-14,1.00000000000004
1,0.222896281800391,1.09844626183584e-13,1.00000000000006
1,0.225440313111546,1.74113526308697e-13,1.00000000000009
1,0.227984344422701,2.84536752506862e-13,1.00000000000015
1,0.230528375733855,4.58716003582066e-13,1.00000000000024
1,0.23307240704501,7.28608552314334e-13,1.00000000000037
1,0.235616438356164,1.13802907174499e-12,1.00000000000058
1,0.238160469667319,1.74957133917719e-12,1.0000000000009
1,0.240704500978474,2.79996872072981e-12,1.00000000000144
1,0.243248532289628,4.42396120596483e-12,1.00000000000227
1,0.245792563600783,6.89327656297588e-12,1.00000000000353
1,0.248336594911937,1.0577969308662e-11,1.00000000000542
1,0.250880626223092,1.59570416851562e-11,1.00000000000818
1,0.253424657534247,2.47608596139085e-11,1.00000000001269
1,0.255968688845401,3.83123678008292e-11,1.00000000001964
1,0.258512720156556,5.85262879772768e-11,1.00000000003
1,0.26105675146771,8.81745141469212e-11,1.0000000000452
1,0.263600782778865,1.308348985614e-10,1.00000000006706
1,0.26614481409002,1.96699117556645e-10,1.00000000010082
1,0.268688845401174,2.97968086696336e-10,1.00000000015273
1,0.271232876712329,4.46067409313975e-10,1.00000000022864
1,0.273776908023483,6.59398573125668e-10,1.00000000033799
1,0.276320939334638,9.61560112106771e-10,1.00000000049287
1,0.278864970645793,1.40394985571151e-09,1.00000000071962
1,0.281409001956947,2.08171271835461e-09,1.00000000106703
1,0.283953033268102,3.05303145136631e-09,1.0000000015649
1,0.286497064579256,4.42615787840595e-09,1.00000000226872
1,0.289041095890411,6.33859593329169e-09,1.00000000324898
1,0.291585127201566,9.00626682448163e-09,1.00000000461636
1,0.29412915851272,1.30690708205222e-08,1.00000000669883
1,0.296673189823875,1.87725939392019e-08,1.0000000096223
1,0.299217221135029,2.66808823461045e-08,1.00000001367586
1,0.301761252446184,3.75018311220332e-08,1.00000001922237
1,0.304305283757339,5.20971643848415e-08,1.00000002670352
1,0.306849315068493,7.37592452010291e-08,1.00000003780689
1,0.309393346379648,1.03748235688723e-07,1.00000005317839
1,0.311937377690802,1.44512304244286e-07,1.00000007407289
1,0.314481409001957,1.99270382639051e-07,1.00000010214031
1,0.317025440313112,2.71908056316567e-07,1.00000013937231
1,0.319569471624266,3.74404571980728e-07,1.0000001919091
1,0.322113502935421,5.15622004538141e-07,1.00000026429313
1,0.324657534246575,7.0372877538847e-07,1.0000003607113
1,0.32720156555773,9.51643530144038e-07,1.00000048778533
1,0.329745596868885,1.27478592249193e-06,1.0000006534189
1,0.332289628180039,1.71026872118461e-06,1.00000087663496
1,0.334833659491194,2.30594223858991e-06,1.00000118196022
1,0.337377690802348,3.0832344288258e-06,1.00000158037802
1,0.339921722113503,4.08784941704626e-06,1.00000209531501
1,0.342465753424658,5.37360405216977e-06,1.00000275435616
1,0.345009784735812,7.03534810965427e-06,1.00000360611877
1,0.347553816046967,9.28665288295767e-06,1.00000476007338
1,0.350097847358121,1.21638138922219e-05,1.00000623482404
1,0.352641878669276,1.58091187254478e-05,1.00000810330332
1,0.355185909980431,2.03875297418571e-05,1.00001045006622
1,0.357729941291585,2.60875971549115e-05,1.00001337175818
1,0.36027397260274,3.37105315157621e-05,1.0000172790569
1,0.362818003913894,4.32546453654837e-05,1.00002217109743
1,0.365362035225049,5.51053012357457e-05,1.0000282454056
1,0.367906066536204,6.97056360851547e-05,1.00003572912079
1,0.370450097847358,8.75551147083007e-05,1.0000448782544
1,0.372994129158513,0.000110425137268303,1.00005660077562
1,0.375538160469667,0.000138814870170615,1.00007115254292
1,0.378082191780822,0.0001733559591938,1.00008885731991
1,0.380626223091977,0.000215088401745005,1.0001102481796
1,0.383170254403131,0.000265165566801797,1.00013591630602
1,0.385714285714286,0.000326886572859909,1.0001675527332
1,0.38825831702544,0.000402676880716358,1.00020640068318
1,0.390802348336595,0.000493029681461291,1.00025271295164
1,0.39334637964775,0.00060006814971103,1.00030757781732
1,0.395890410958904,0.000726104443365335,1.00037218042642
1,0.398434442270059,0.000876104838812995,1.00044906635055
1,0.400978473581213,0.00105792088606178,1.00054226007028
1,0.403522504892368,0.00127032592254995,1.00065113283339
1,0.406066536203523,0.00151706771930438,1.00077760564039
1,0.408610567514677,0.00180214614164201,1.00092372870817
1,0.411154598825832,0.00213095543365562,1.00109226697237
1,0.413698630136986,0.00252360808480433,1.0012935295214
1,0.416242661448141,0.00297326598024619,1.00152401133266
1,0.418786692759296,0.0034856005368078,1.00178661941263
1,0.42133072407045,0.00406653141595835,1.00208438801093
1,0.423874755381605,0.00472222371324727,1.00242047717969
1,0.426418786692759,0.00548363161846532,1.00281075315367
1,0.428962818003914,0.00634338546737866,1.00325143845319
1,0.431506849315069,0.00730472300972302,1.0037441926564
1,0.434050880626223,0.00837504529809826,1.00429280933177
1,0.436594911937378,0.00956187782194192,1.00490114583054
1,0.439138943248532,0.0108990604883483,1.00558654752382
1,0.441682974559687,0.0123901548567467,1.0063508399654
1,0.444227005870842,0.0140278554318211,1.00719027856675
1,0.446771037181996,0.0158198323975029,1.00810879484539
1,0.449315068493151,0.017773672229989,1.0091102774126
1,0.451859099804305,0.0199184743065671,1.01020964177917
1,0.45440313111546,0.0222786455958755,1.01141939826104
1,0.456947162426615,0.0248283999183181,1.01272632959807
